name,destinationType,weather,budget,activities,flightDuration
Dubai,City Break,Warm and sunny,Luxury,shopping_mall; restaurant; amusement_park; tourist_attractions; beaches,Long Haul (6-10 Hours)
Abu Dhabi,City Break,Warm and sunny,Luxury,shopping_mall; amusement_park,Long Haul (6-10 Hours)
Beijing,Historical sites,Cool and breezy,Mid-Range,museum;  tourist_attraction,Long Haul (6-10 Hours)
Shanghai,City Break,Cool and breezy,Luxury,shopping_mall; restaurant; museum,Long Haul (6-10 Hours)
Seoul,City Break,Cool and breezy,Mid-Range,shopping_mall; restaurant; museum,Long Haul (6-10 Hours)
Tokyo,City Break,Cool and breezy,Luxury,shopping_mall; restaurant,Long Haul (6-10 Hours)
Busan,Beaches,Warm and sunny,Mid-Range,park; restaurant,Long Haul (6-10 Hours)
Kuala Lumpur,City Break,Warm and sunny,Budget-Friendly,shopping_mall; amusement_park,Long Haul (6-10 Hours)
Singapore,City Break,Warm and sunny,Luxury,shopping_mall,Long Haul (6-10 Hours)
Melbourne,Beaches,Warm and sunny,Mid-Range,restaurant; beaches,Ultra Long Haul (10+ Hours)
Sydney,Beaches,Warm and sunny,Luxury,tourist_attractions; beaches,Ultra Long Haul (10+ Hours)
New York,City Break,Cool and breezy,Luxury,shopping_mall; museum; tourist_attractions,Long Haul (6-10 Hours)
Los Angeles,City Break,Warm and sunny,Luxury,shopping_mall; beaches;  tourist_attractions,Long Haul (6-10 Hours)
Chicago,City Break,Cool and breezy,Mid-Range,museum; park;tourist_attractions,Long Haul (6-10 Hours)
Austin,City Break,Warm and sunny,Mid-Range,restaurant; park,Long Haul (6-10 Hours)
San Fransisco,City Break,Cool and breezy,Luxury,tourist_attractions; park; ,Long Haul (6-10 Hours)
San Diego,Beaches,Warm and sunny,Mid-Range,tourist_attractions; amusement_park; restaurant;beaches,Long Haul (6-10 Hours)
Miami,Beaches,Warm and sunny,Luxury, beaches; amusement_park,Long Haul (6-10 Hours)
Orlando,Beaches,Warm and sunny,Mid-Range,tourist_attractions; restaurant; beaches,Long Haul (6-10 Hours)
Toronto,City Break,Cool and breezy,Mid-Range,museum; restaurant,Long Haul (6-10 Hours)
Vancouver,Nature,Cool and breezy,Mid-Range,park; restaurant; tourist_attraction,Long Haul (6-10 Hours)
Montreal,Historical sites,Cool and snowy,Mid-Range,museum; park,Long Haul (6-10 Hours)
Rio De Janeiro,Beaches,Warm and sunny,Budget-Friendly,park; restaurant; tourist_attraction; beaches,Long Haul (6-10 Hours)
Sao Paulo,Beaches,Warm and sunny,Mid-Range,restaurant; museum; park; beaches,Long Haul (6-10 Hours)
Mexico City,Historical sites,Warm and sunny,Budget-Friendly,museum;tourist_attraction,Long Haul (6-10 Hours)
Cancun,Beaches,Warm and sunny,Luxury,restaurant; museum; park; beaches,Long Haul (6-10 Hours)
